Show Name,Top Topic,Column Number,Relationships,Arts,Hunting,Entertainment,Investing,Outdoors,Wall Street,Legal,Sports,Religion,International Politics,NSFW,Self-Improvement,Pets,Opinion,Medicine,Automotive,Dating,Asia,Winter Holidays,Social Media,Literature,Eating,Farming / Gardening,Business,Nature,Food,Scientific Research,Photography,Beverages,News / Politics,Diet,Anatomy,Energy / Climate Change,Space,California,European Politics,Judicial,NBA,Drugs,Economics,Animals,Conflict / War,Music,Brain Science,Science,U.S. Politics,NFL,Places / Transportation,Disease,Fighting,Movies,Health Care,Race,Women's Health,Death / Disaster,Sleep / Spooky,Fitness,Conservative Politics,Digital Entrepreneurship,Crime,Startups,History,Comedy,Guns / Police,Family,Pro Wrestling,Medical Treatment,Colloquial,U.S. Election 2016,College Football,Sex,Cryptocurrency,TV,Fashion / Style,Radio,Communication,Tech,Money,Education,Mobile Tech
KSR - Kentucky Sports Radio,Sports,0,0.0378,0.0166,0.0000,0.0497,0.0000,0.0034,0.0000,0.0198,0.9875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0000,0.0000,0.0291,0.0000,0.0041,0.0069,0.0000,0.0163,0.0000,0.0000,0.0000,0.0126,0.0000,0.0000,0.0000,0.0372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0168,0.2116,0.0000,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0150,0.1176,0.0000,0.0000,0.0032,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0016,0.0346,0.0073,0.0049,0.0144,0.0000,0.6312,0.0000,0.7205,0.0000,0.0000,0.0000,0.0019,0.0032,0.0072,0.0014,0.0000,0.0000,0.0000
Clublife by Tisto,Arts,1,0.1231,0.4991,0.0000,0.0436,0.0089,0.0000,0.0000,0.0000,0.0358,0.0000,0.0000,0.0000,0.0576,0.0000,0.0149,0.0000,0.0000,0.0661,0.0000,0.0000,0.0209,0.0000,0.0000,0.0000,0.0068,0.0000,0.0159,0.0144,0.0076,0.0000,0.1074,0.0151,0.0204,0.0000,0.0000,0.0000,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0383,0.4321,0.0000,0.0194,0.0000,0.0170,0.0433,0.0000,0.0000,0.0349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0246,0.0197,0.0000,0.0000,0.0000,0.2616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1013,0.0448,0.0136,0.0000,0.0000,0.0000
Canvas,Cryptocurrency,2,0.0000,0.3316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9441,0.0000,0.0000,0.2760
The Cracked Podcast,Colloquial,3,0.2672,0.1058,0.0000,0.5936,0.0000,0.0149,0.0000,0.0377,0.0000,0.0455,0.0331,0.0657,0.0000,0.0000,0.3392,0.0000,0.0000,0.1289,0.0000,0.0000,0.0632,0.0139,0.0000,0.0000,0.0135,0.0000,0.0000,0.0266,0.0000,0.0000,0.1891,0.0000,0.0000,0.0000,0.0359,0.0000,0.0113,0.0000,0.0000,0.0000,0.0160,0.0917,0.1044,0.0154,0.0438,0.1104,0.0767,0.0000,0.0096,0.0000,0.0000,0.5290,0.0000,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0422,0.0000,0.0924,0.1172,0.0000,0.0134,0.0000,0.0000,0.7149,0.0000,0.0000,0.1042,0.0000,0.0000,0.0000,0.0000,0.0238,0.0155,0.0000,0.0000,0.0000
Audio Book Club,Literature,4,0.9458,0.9617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9097,0.0000,0.0000,0.0990,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0802,0.0000,0.1842,0.2500,0.0000,0.0925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0840,0.0000,0.0000,0.0618,0.0000,0.0000,0.0000,0.0000,0.9413,0.0000,0.0000,0.0000,0.0000
Wolf 359,Colloquial,5,0.0465,0.0000,0.0000,0.1245,0.0000,0.0000,0.0000,0.0000,0.1349,0.0000,0.0000,0.0000,0.2112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1009,0.0000,0.0000,0.0000,0.0561,0.0000,0.0514,0.0724,0.0000,0.0000,0.1017,0.0000,0.0000,0.0000,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2101,0.0000,0.0000,0.2262,0.0000,0.0000,0.3605,0.0000,0.0000,0.0857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6092,0.0000,0.0000,0.0000,0.0000,0.0752,0.0000,0.1439,0.0558,0.1067,0.0000,0.0000,0.0419
The Memory Palace,History,6,0.0597,0.1160,0.0868,0.0406,0.0000,0.2492,0.0000,0.0402,0.0000,0.0108,0.0402,0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0225,0.0168,0.1961,0.0227,0.0000,0.1065,0.1455,0.0000,0.0427,0.0086,0.2202,0.0000,0.0191,0.0000,0.0000,0.0316,0.0000,0.0443,0.0000,0.0000,0.0000,0.0712,0.0723,0.0534,0.0000,0.0473,0.0668,0.0000,0.1536,0.0000,0.0000,0.0000,0.0000,0.1322,0.0000,0.0000,0.0182,0.1025,0.0000,0.0000,0.0000,0.0000,0.6880,0.0467,0.0346,0.0775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0613,0.0458,0.0000,0.0000,0.0000,0.0000
All Ears podcast,Colloquial,7,0.7362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1535,0.0000,0.0000,0.0357,0.0000,0.0000,0.0000,0.0000,0.0527,0.0000,0.0000,0.0000,0.0000,0.0000,0.2327,0.0000,0.0000,0.1735,0.0000,0.0000,0.0000,0.0000,0.0000,0.8318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0669,0.0000,0.0000,0.0000,0.0000
Only Human,Relationships,8,0.4120,0.1690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0705,0.0000,0.0000,0.0000,0.1150,0.2500,0.0000,0.2120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1412,0.2039,0.0000,0.0000,0.2452,0.1343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1527,0.0000,0.2491,0.2240,0.0000,0.2500,0.2342,0.0000,0.0000,0.0000,0.0811,0.1099,0.0000,0.1002,0.1503,0.0000,0.0000,0.0000,0.0000,0.0000,0.1529,0.0000,0.1093,0.0000,0.2132,0.0778,0.0807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2733,0.0000,0.0000,0.0000,0.0000
Poetry,Literature,9,0.4777,0.8858,0.0000,0.0000,0.0000,0.4172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5738,0.0000,0.0000,0.0000,0.0000
